,class,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_color,ring_number,ring_type,spore_print_color,population,habitat,knn_stalk_root,kmns_stalk_root
2418,poisonous,knobbed,smooth,brown,no,spicy,free,close,narrow,buff,tapering,,silky,smooth,pink,pink,white,one,evanescent,white,several,woods,bulbous,0.0
2419,poisonous,knobbed,smooth,brown,no,spicy,free,close,narrow,buff,tapering,,silky,silky,pink,pink,white,one,evanescent,white,several,paths,bulbous,0.0
2420,poisonous,knobbed,scaly,brown,no,fishy,free,close,narrow,buff,tapering,,smooth,silky,pink,white,white,one,evanescent,white,several,leaves,bulbous,0.0
2421,edible,knobbed,fibrous,white,no,none,free,crowded,broad,white,enlarging,,silky,smooth,white,white,white,two,pendant,white,scattered,grasses,bulbous,1.0
2422,poisonous,knobbed,scaly,red,no,foul,free,close,narrow,buff,tapering,,smooth,smooth,pink,pink,white,one,evanescent,white,several,leaves,bulbous,0.0
2423,edible,knobbed,smooth,brown,no,none,attached,close,broad,yellow,enlarging,,smooth,smooth,orange,orange,orange,one,pendant,buff,several,leaves,bulbous,2.0
2424,poisonous,knobbed,smooth,red,no,foul,free,close,narrow,buff,tapering,,silky,silky,white,white,white,one,evanescent,white,several,paths,bulbous,0.0
2425,edible,bell,smooth,brown,no,none,attached,close,broad,brown,enlarging,,smooth,smooth,orange,orange,orange,one,pendant,buff,clustered,leaves,bulbous,2.0
2426,edible,flat,smooth,brown,no,none,attached,close,broad,orange,enlarging,,smooth,smooth,orange,orange,orange,one,pendant,buff,clustered,leaves,bulbous,2.0
2427,edible,knobbed,smooth,brown,no,none,attached,close,broad,brown,enlarging,,smooth,smooth,orange,orange,brown,one,pendant,brown,clustered,leaves,bulbous,2.0
2428,poisonous,knobbed,scaly,red,no,spicy,free,close,narrow,buff,tapering,,silky,silky,white,white,white,one,evanescent,white,several,leaves,bulbous,0.0
2429,edible,knobbed,smooth,brown,no,none,attached,close,broad,brown,enlarging,,smooth,smooth,orange,orange,orange,one,pendant,yellow,several,leaves,bulbous,2.0
2430,poisonous,knobbed,scaly,red,no,foul,free,close,narrow,buff,tapering,,silky,silky,white,white,white,one,evanescent,white,several,paths,bulbous,0.0
2431,edible,knobbed,smooth,brown,no,none,attached,close,broad,brown,enlarging,,smooth,smooth,orange,orange,brown,one,pendant,yellow,several,leaves,bulbous,2.0
2432,edible,bell,fibrous,gray,no,none,free,crowded,broad,white,enlarging,,silky,silky,white,white,white,two,pendant,white,numerous,grasses,bulbous,1.0
2433,edible,flat,smooth,brown,no,none,attached,close,broad,orange,enlarging,,smooth,smooth,orange,orange,orange,one,pendant,orange,clustered,leaves,bulbous,2.0
2434,edible,bell,smooth,brown,no,none,attached,close,broad,orange,enlarging,,smooth,smooth,orange,orange,brown,one,pendant,yellow,clustered,leaves,bulbous,2.0
2435,edible,flat,smooth,brown,no,none,attached,close,broad,orange,enlarging,,smooth,smooth,orange,orange,brown,one,pendant,orange,several,leaves,bulbous,2.0
2436,edible,bell,fibrous,gray,no,none,free,crowded,broad,gray,enlarging,,smooth,smooth,white,white,white,two,pendant,white,scattered,grasses,bulbous,1.0
2437,poisonous,knobbed,scaly,red,no,foul,free,close,narrow,buff,tapering,,smooth,smooth,white,white,white,one,evanescent,white,several,leaves,bulbous,0.0
2438,poisonous,knobbed,smooth,brown,no,spicy,free,close,narrow,buff,tapering,,smooth,silky,pink,white,white,one,evanescent,white,several,woods,bulbous,0.0
2439,poisonous,knobbed,scaly,brown,no,foul,free,close,narrow,buff,tapering,,silky,smooth,white,white,white,one,evanescent,white,several,paths,bulbous,0.0
2440,poisonous,knobbed,smooth,red,no,spicy,free,close,narrow,buff,tapering,,silky,silky,pink,pink,white,one,evanescent,white,several,paths,bulbous,0.0
2441,poisonous,knobbed,scaly,brown,no,fishy,free,close,narrow,buff,tapering,,smooth,smooth,white,white,white,one,evanescent,white,several,leaves,bulbous,0.0
2442,edible,bell,fibrous,gray,no,none,free,crowded,broad,pink,enlarging,,silky,silky,white,white,white,two,pendant,white,scattered,grasses,bulbous,1.0
2443,edible,knobbed,fibrous,white,no,none,free,crowded,broad,gray,enlarging,,smooth,silky,white,white,white,two,pendant,white,scattered,grasses,bulbous,1.0
2444,edible,knobbed,smooth,brown,no,none,attached,close,broad,brown,enlarging,,smooth,smooth,orange,orange,brown,one,pendant,orange,several,leaves,bulbous,2.0
2445,poisonous,convex,smooth,red,no,foul,free,close,narrow,buff,tapering,,silky,smooth,white,pink,white,one,evanescent,white,several,paths,bulbous,0.0
2446,edible,knobbed,smooth,brown,no,none,attached,close,broad,brown,enlarging,,smooth,smooth,orange,orange,orange,one,pendant,brown,several,leaves,bulbous,2.0
2447,poisonous,knobbed,scaly,red,no,foul,free,close,narrow,buff,tapering,,silky,silky,white,pink,white,one,evanescent,white,several,woods,bulbous,0.0
2448,poisonous,knobbed,smooth,brown,no,foul,free,close,narrow,buff,tapering,,silky,smooth,pink,pink,white,one,evanescent,white,several,woods,bulbous,0.0
2449,poisonous,knobbed,scaly,red,no,foul,free,close,narrow,buff,tapering,,smooth,silky,white,white,white,one,evanescent,white,several,paths,bulbous,0.0
2450,poisonous,knobbed,scaly,red,no,fishy,free,close,narrow,buff,tapering,,smooth,smooth,pink,pink,white,one,evanescent,white,several,paths,bulbous,0.0
2451,poisonous,convex,smooth,brown,no,fishy,free,close,narrow,buff,tapering,,silky,silky,white,white,white,one,evanescent,white,several,woods,bulbous,0.0
2452,edible,bell,smooth,gray,no,none,free,crowded,broad,gray,enlarging,,silky,smooth,white,white,white,two,pendant,white,numerous,grasses,bulbous,1.0
2453,edible,knobbed,fibrous,white,no,none,free,crowded,broad,white,enlarging,,silky,smooth,white,white,white,two,pendant,white,numerous,grasses,rooted,1.0
2454,poisonous,knobbed,scaly,brown,no,spicy,free,close,narrow,buff,tapering,,silky,silky,pink,pink,white,one,evanescent,white,several,leaves,bulbous,0.0
2455,poisonous,knobbed,smooth,red,no,fishy,free,close,narrow,buff,tapering,,silky,silky,white,pink,white,one,evanescent,white,several,woods,bulbous,0.0
2456,edible,knobbed,fibrous,white,no,none,free,crowded,broad,white,enlarging,,silky,silky,white,white,white,two,pendant,white,scattered,grasses,bulbous,1.0
2457,edible,flat,smooth,brown,no,none,attached,close,broad,orange,enlarging,,smooth,smooth,orange,orange,brown,one,pendant,buff,several,leaves,bulbous,2.0
2458,poisonous,knobbed,smooth,red,no,spicy,free,close,narrow,buff,tapering,,smooth,smooth,pink,white,white,one,evanescent,white,several,paths,bulbous,0.0
2459,edible,convex,smooth,brown,no,none,attached,close,broad,yellow,enlarging,,smooth,smooth,orange,orange,brown,one,pendant,brown,clustered,leaves,bulbous,2.0
2460,edible,knobbed,smooth,brown,no,none,attached,close,broad,yellow,enlarging,,smooth,smooth,orange,orange,brown,one,pendant,orange,clustered,leaves,rooted,2.0
2461,edible,knobbed,smooth,brown,no,none,attached,close,broad,yellow,enlarging,,smooth,smooth,orange,orange,orange,one,pendant,brown,several,leaves,bulbous,2.0
2462,edible,knobbed,smooth,brown,no,none,attached,close,broad,yellow,enlarging,,smooth,smooth,orange,orange,brown,one,pendant,yellow,several,leaves,bulbous,2.0
2463,edible,knobbed,smooth,brown,no,none,attached,close,broad,orange,enlarging,,smooth,smooth,orange,orange,orange,one,pendant,brown,several,leaves,bulbous,2.0
2464,edible,convex,smooth,brown,no,none,attached,close,broad,yellow,enlarging,,smooth,smooth,orange,orange,orange,one,pendant,brown,clustered,leaves,bulbous,2.0
2465,poisonous,knobbed,scaly,red,no,fishy,free,close,narrow,buff,tapering,,silky,smooth,pink,white,white,one,evanescent,white,several,leaves,bulbous,0.0
2466,edible,bell,smooth,white,no,none,free,crowded,broad,white,enlarging,,smooth,smooth,white,white,white,two,pendant,white,numerous,grasses,bulbous,1.0
2467,edible,convex,smooth,brown,no,none,attached,close,broad,orange,enlarging,,smooth,smooth,orange,orange,orange,one,pendant,brown,several,leaves,bulbous,2.0
2468,edible,knobbed,smooth,white,no,none,free,crowded,broad,pink,enlarging,,smooth,smooth,white,white,white,two,pendant,white,numerous,grasses,bulbous,1.0
2469,edible,knobbed,smooth,brown,no,none,attached,close,broad,orange,enlarging,,smooth,smooth,orange,orange,brown,one,pendant,buff,several,leaves,bulbous,2.0
2470,poisonous,knobbed,scaly,red,no,fishy,free,close,narrow,buff,tapering,,silky,silky,pink,pink,white,one,evanescent,white,several,woods,bulbous,0.0
2471,edible,convex,smooth,brown,no,none,attached,close,broad,yellow,enlarging,,smooth,smooth,orange,orange,orange,one,pendant,orange,several,leaves,bulbous,2.0
2472,poisonous,knobbed,scaly,brown,no,spicy,free,close,narrow,buff,tapering,,smooth,silky,pink,white,white,one,evanescent,white,several,leaves,bulbous,0.0
2473,poisonous,knobbed,smooth,red,no,fishy,free,close,narrow,buff,tapering,,silky,smooth,pink,white,white,one,evanescent,white,several,woods,bulbous,0.0
2474,poisonous,knobbed,scaly,brown,no,foul,free,close,narrow,buff,tapering,,silky,smooth,pink,white,white,one,evanescent,white,several,woods,bulbous,0.0
2475,edible,knobbed,smooth,brown,no,none,attached,close,broad,yellow,enlarging,,smooth,smooth,orange,orange,orange,one,pendant,buff,clustered,leaves,rooted,2.0
2476,edible,convex,smooth,brown,no,none,attached,close,broad,yellow,enlarging,,smooth,smooth,orange,orange,brown,one,pendant,buff,several,leaves,bulbous,2.0
2477,edible,flat,smooth,brown,no,none,attached,close,broad,brown,enlarging,,smooth,smooth,orange,orange,orange,one,pendant,buff,clustered,leaves,bulbous,2.0
2478,poisonous,knobbed,scaly,brown,no,fishy,free,close,narrow,buff,tapering,,smooth,silky,white,white,white,one,evanescent,white,several,leaves,bulbous,0.0
2479,edible,convex,smooth,brown,no,none,attached,close,broad,yellow,enlarging,,smooth,smooth,orange,orange,orange,one,pendant,orange,clustered,leaves,bulbous,2.0
2480,poisonous,convex,smooth,brown,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,urban,,
2481,edible,convex,smooth,yellow,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses,,
2482,edible,bell,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows,,
2483,poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,urban,,
2484,edible,convex,smooth,gray,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses,,
2485,edible,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses,,
2486,edible,bell,smooth,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows,,
2487,edible,bell,scaly,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows,,
2488,poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,grasses,,
2489,edible,bell,smooth,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows,,
2490,edible,convex,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses,,
2491,edible,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows,,
2492,edible,bell,smooth,yellow,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses,,
2493,poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban,,
2494,edible,convex,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,abundant,grasses,,
2495,edible,sunken,fibrous,gray,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban,,
2496,edible,flat,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses,,
2497,poisonous,convex,smooth,brown,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses,,
2498,poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,scattered,urban,,
2499,poisonous,convex,smooth,brown,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,scattered,urban,,
2500,edible,bell,smooth,yellow,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows,,
2501,poisonous,convex,scaly,brown,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,grasses,,
2502,edible,bell,scaly,yellow,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows,,
2503,edible,bell,scaly,white,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows,,
2504,edible,bell,smooth,white,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows,,
2505,poisonous,flat,smooth,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,grasses,,
2506,edible,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows,,
2507,edible,convex,scaly,white,bruises,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows,,
2508,edible,flat,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,solitary,urban,,
2509,edible,convex,smooth,yellow,bruises,almond,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,several,woods,,
2510,edible,bell,smooth,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows,,
2511,poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,scattered,urban,,
2512,edible,convex,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows,,
2513,edible,convex,scaly,brown,bruises,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,solitary,paths,,
2514,edible,bell,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows,,
2515,edible,convex,fibrous,yellow,bruises,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,several,woods,,
2516,edible,sunken,fibrous,gray,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,urban,,
2517,poisonous,convex,scaly,brown,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,scattered,urban,,
2518,edible,convex,fibrous,yellow,bruises,almond,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,several,woods,,
2519,edible,bell,smooth,yellow,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows,,
2520,edible,bell,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses,,
2521,edible,convex,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,solitary,paths,,
2522,edible,convex,fibrous,brown,no,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,solitary,urban,,
2523,poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,grasses,,
2524,edible,convex,smooth,yellow,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows,,
2525,edible,convex,scaly,white,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses,,
2526,edible,convex,scaly,yellow,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows,,
2527,edible,convex,smooth,white,bruises,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows,,
2528,edible,convex,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,scattered,paths,,
2529,edible,flat,scaly,yellow,bruises,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,scattered,paths,,
2530,edible,convex,scaly,brown,bruises,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,scattered,grasses,,
2531,edible,convex,smooth,white,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses,,
2532,edible,bell,smooth,white,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows,,
2533,poisonous,convex,scaly,brown,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban,,
2534,poisonous,convex,smooth,white,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,urban,,
2535,edible,bell,scaly,yellow,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows,,
2536,edible,flat,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses,,
2537,edible,bell,smooth,white,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses,,
2538,edible,convex,smooth,yellow,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses,,
2539,edible,convex,scaly,brown,bruises,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,solitary,paths,,
2540,edible,sunken,fibrous,gray,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban,,
2541,edible,bell,scaly,yellow,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows,,
2542,edible,bell,smooth,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows,,
2543,edible,bell,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows,,
2544,edible,bell,scaly,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses,,
2545,edible,flat,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,one,evanescent,black,abundant,grasses,,
2546,edible,convex,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses,,
2547,edible,flat,scaly,yellow,bruises,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,scattered,grasses,,
2548,edible,convex,scaly,yellow,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses,,
2549,edible,convex,fibrous,gray,no,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban,,
2550,edible,flat,fibrous,yellow,bruises,anise,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,several,woods,,
2551,edible,bell,scaly,white,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows,,
2552,edible,flat,fibrous,yellow,bruises,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,several,woods,,
2553,edible,convex,scaly,brown,bruises,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,scattered,paths,,
2554,edible,bell,smooth,yellow,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses,,
2555,edible,flat,smooth,yellow,bruises,anise,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,several,woods,,
2556,edible,convex,smooth,white,bruises,anise,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,purple,several,woods,,
2557,edible,flat,scaly,brown,bruises,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,solitary,paths,,
2558,poisonous,convex,scaly,brown,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban,,
2559,edible,flat,scaly,brown,bruises,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,solitary,grasses,,
2560,edible,convex,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,brown,scattered,grasses,,
2561,poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses,,
2562,edible,flat,fibrous,gray,no,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban,,
2563,edible,convex,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,scattered,grasses,,
2564,edible,convex,scaly,yellow,bruises,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,scattered,grasses,,
2565,edible,convex,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,one,evanescent,black,scattered,grasses,,
2566,edible,bell,smooth,white,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses,,
2567,edible,convex,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses,,
2568,edible,flat,scaly,brown,bruises,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,solitary,grasses,,
2569,edible,sunken,fibrous,brown,no,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban,,
2570,edible,convex,fibrous,brown,no,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban,,
2571,edible,bell,smooth,white,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses,,
2572,edible,convex,scaly,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses,,
2573,edible,convex,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows,,
2574,edible,convex,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses,,
2575,edible,convex,smooth,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses,,
2576,edible,flat,scaly,brown,bruises,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,scattered,grasses,,
2577,edible,convex,smooth,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses,,
2578,edible,bell,smooth,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses,,
2579,edible,convex,scaly,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses,,
2580,edible,convex,fibrous,brown,no,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,black,scattered,grasses,,
2581,edible,bell,smooth,yellow,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses,,
2582,edible,flat,scaly,yellow,bruises,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,scattered,grasses,,
2583,edible,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,solitary,paths,,
2584,edible,bell,scaly,white,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses,,
2585,edible,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows,,
2586,edible,convex,scaly,yellow,bruises,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,solitary,grasses,,
2587,edible,bell,scaly,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows,,
2588,edible,bell,scaly,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows,,
2589,edible,convex,smooth,yellow,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows,,
2590,edible,convex,smooth,yellow,bruises,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses,,
2591,edible,sunken,fibrous,gray,no,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,solitary,urban,,
2592,edible,convex,fibrous,white,bruises,almond,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,purple,several,woods,,
2593,edible,convex,smooth,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows,,
2594,poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban,,
2595,edible,convex,scaly,yellow,bruises,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,scattered,grasses,,
2596,edible,sunken,fibrous,gray,no,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban,,
2597,edible,convex,scaly,yellow,bruises,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,solitary,grasses,,
2598,edible,convex,smooth,yellow,bruises,anise,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,purple,several,woods,,
2599,edible,sunken,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban,,
2600,poisonous,convex,smooth,white,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,grasses,,
2601,edible,convex,scaly,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows,,
